conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/038,"διεπιστημονικά προγράμματα και προσόντα που περιλαμβάνουν κοινωνικές επιστήμες, δημοσιογραφία και ενημέρωση",,,released,2023-06-29T13:50:39.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,038
SkillGroup,http://data.europa.eu/esco/isced-f/0388,"διεπιστημονικά προγράμματα και προσόντα που περιλαμβάνουν κοινωνικές επιστήμες, δημοσιογραφία και ενημέρωση",,,released,2023-07-04T08:43:11.281Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0388
SkillGroup,http://data.europa.eu/esco/isced-f/039,"κοινωνικές επιστήμες, δημοσιογραφία και ενημέρωση που δεν ταξινομούνται αλλού",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,039
SkillGroup,http://data.europa.eu/esco/isced-f/0399,"κοινωνικές επιστήμες, δημοσιογραφία και ενημέρωση που δεν ταξινομούνται αλλού",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0399
SkillGroup,http://data.europa.eu/esco/isced-f/04,"επιχειρήσεις, διοίκηση και δίκαιο",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,04
SkillGroup,http://data.europa.eu/esco/isced-f/040,"επιχειρήσεις, διοίκηση και δίκαιο που δεν προσδιορίζονται περαιτέρω",,,released,2020-12-10T13:24:05.932Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,040
SkillGroup,http://data.europa.eu/esco/isced-f/0400,"επιχειρήσεις, διοίκηση και δίκαιο που δεν προσδιορίζονται περαιτέρω",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0400
SkillGroup,http://data.europa.eu/esco/isced-f/041,επιχειρήσεις και διοίκηση,,,released,2023-07-05T08:34:34.635Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,041
SkillGroup,http://data.europa.eu/esco/isced-f/0410,επιχειρήσεις και διοίκηση που δεν προσδιορίζονται περαιτέρω,,,released,2023-06-20T14:39:25.865Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0410
SkillGroup,http://data.europa.eu/esco/isced-f/0411,λογιστική και φορολογία,,,released,2023-02-17T13:32:34.671Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0411
SkillGroup,http://data.europa.eu/esco/isced-f/0412,"χρηματοπιστωτικά, τράπεζες και ασφαλίσεις",,,released,2023-07-04T12:47:27.353Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0412
SkillGroup,http://data.europa.eu/esco/isced-f/0413,διαχείριση και διοίκηση,,,released,2023-07-04T08:25:45.675Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0413
SkillGroup,http://data.europa.eu/esco/isced-f/0414,εμπορική προώθηση και διαφήμιση,,,released,2023-07-04T06:58:16.398Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0414
SkillGroup,http://data.europa.eu/esco/isced-f/0415,εργασίες γραφείου και γραμματείας,,,released,2021-04-14T10:07:44.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0415
SkillGroup,http://data.europa.eu/esco/isced-f/0416,χονδρική και λιανική πώληση,,,released,2023-07-04T10:39:53.648Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0416
SkillGroup,http://data.europa.eu/esco/isced-f/0417,επαγγελματικές δεξιότητες,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0417
SkillGroup,http://data.europa.eu/esco/isced-f/0419,επιχειρήσεις και διοίκηση που δεν ταξινομούνται αλλού,,,released,2022-06-07T12:48:05.343Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0419
SkillGroup,http://data.europa.eu/esco/isced-f/042,δίκαιο,,,released,2023-07-05T16:08:11.463Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,042
SkillGroup,http://data.europa.eu/esco/isced-f/0421,δίκαιο,,,released,2023-07-05T07:04:55.853Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0421
SkillGroup,http://data.europa.eu/esco/isced-f/048,"διεπιστημονικά προγράμματα και προσόντα που αφορούν επιχειρήσεις, διοίκηση και δίκαιο",,,released,2023-10-30T09:05:29.607Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,048
SkillGroup,http://data.europa.eu/esco/isced-f/0488,"διεπιστημονικά προγράμματα και προσόντα που αφορούν επιχειρήσεις, διοίκηση και δίκαιο",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0488
